Driver,Age,Car,Starts,Wins,Points,GF Laps,ASP,ARP,wARP,AFP,PFAE,Avg. PFAE,Succ%,wSucc%,PFAEz,PGAE,PGAE/100,PFARP,wPFARP,cPOMS,LSP,RSP,GR,LR,GR-LR,SS
Denny Hamlin,45,Number 11,28,4,1094,6093,11.21,9.06,7.18,8.61,210.93,7.533,85.7,72.5%,0.704,629.526,11.240,5.085,4.471,0.9792,0.7191,0.7483,2.75,1.40,1.35,3.78
Ryan Blaney,32,Number 12,28,3,989,6004,9.64,9.05,8.11,12.04,110.10,3.932,75.0,61.1%,0.375,689.781,12.462,2.480,2.791,0.9787,0.6962,0.7198,2.75,1.39,1.36,2.31
Tyler Reddick,30,Number 45,28,5,955,5649,9.11,10.87,10.94,12.36,86.79,3.100,71.4,59.0%,0.317,477.951,9.216,3.501,3.147,0.9780,0.6827,0.7482,2.81,1.63,1.18,3.62
Ty Gibbs,23,Number 54,28,2,947,5767,9.64,10.00,8.71,12.18,108.47,3.874,71.4,58.7%,0.355,593.555,11.176,3.843,4.459,0.9778,0.6872,0.6979,2.39,1.53,0.87,3.24
Christopher Bell,31,Number 20,28,1,852,5823,14.43,10.98,11.05,14.07,102.22,3.651,64.3,60.6%,0.368,565.142,10.464,1.839,1.870,0.9794,0.6801,0.6376,2.98,1.56,1.43,3.38
Kyle Larson,33,Number 5,28,1,830,5760,10.00,10.66,10.67,16.21,-5.61,-0.200,57.1,54.0%,0.018,452.016,8.527,-0.488,0.175,0.9784,0.6771,0.7065,2.62,1.44,1.18,3.01
Chase Briscoe,31,Number 19,28,1,815,5858,12.86,10.52,9.26,14.89,68.58,2.449,67.9,58.2%,0.285,434.284,8.011,0.912,1.064,0.9770,0.6576,0.7422,2.63,1.44,1.19,2.35
Joey Logano,35,Number 22,28,2,781,5826,14.07,12.98,11.56,16.36,29.16,1.042,64.3,53.4%,0.112,168.086,3.125,1.771,2.530,0.9755,0.6171,0.5947,2.34,1.60,0.74,-1.38
Chase Elliott,30,Number 9,28,2,748,5770,15.86,13.19,12.76,15.32,74.41,2.657,60.7,56.7%,0.250,178.761,3.356,1.361,1.144,0.9750,0.6030,0.6730,2.55,1.74,0.81,0.22
Carson Hocevar,23,Number 77,28,1,724,5948,12.79,16.47,16.02,16.21,15.48,0.553,53.6,48.9%,0.051,221.918,4.044,1.283,0.955,0.9734,0.5641,0.6012,2.39,1.89,0.50,0.58
Bubba Wallace,32,Number 23,28,0,719,5876,18.29,12.94,12.27,16.11,62.60,2.236,60.7,57.5%,0.234,365.351,6.742,-0.142,-0.067,0.9744,0.6058,0.5569,2.77,1.72,1.05,0.20
William Byron,28,Number 24,28,0,705,5887,15.39,13.39,14.23,16.43,44.86,1.602,60.7,55.1%,0.159,354.941,6.526,0.216,0.553,0.9755,0.6144,0.6992,2.25,1.53,0.71,1.44
